title,budget,revenue,release_date,genres,release_year,genre
Canadian Bacon,11000000.0,178104.0,1995-06-08,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",1995,Action
Casper,50000000.0,287928194.0,1995-05-26,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995,Fantasy
Clockers,25000000.0,13071518.0,1995-09-15,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1995,Mystery
Congo,50000000.0,152022101.0,1995-06-09,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
Crimson Tide,53000000.0,157387195.0,1995-05-12,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1995,Action
Desperado,7000000.0,25405445.0,1995-08-25,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",1995,Thriller
Devil in a Blue Dress,27000000.0,16140822.0,1995-09-15,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1995,Drama
Die Hard: With a Vengeance,90000000.0,366101666.0,1995-05-19,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
First Knight,55000000.0,127600435.0,1995-07-07,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Action
Hackers,20000000.0,7563728.0,1995-09-14,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1995,Action
Johnny Mnemonic,25000000.0,19075720.0,1995-05-26,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995,Adventure
Judge Dredd,90000000.0,113493481.0,1995-06-30,"[{'id': 878, 'name': 'Science Fiction'}]",1995,Science Fiction
Kids,1500000.0,7412216.0,1995-07-28,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995,Drama
Living in Oblivion,500000.0,1148752.0,1995-01-20,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1995,Drama
Mallrats,6000000.0,2122561.0,1995-10-20,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1995,Romance
Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,1995-06-30,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1995,Action
Mute Witness,2.0,1.0,1995-09-28,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",1995,Thriller
The Net,22000000.0,110627965.0,1995-07-28,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",1995,Crime
Party Girl,150000.0,472370.0,1995-06-09,"[{'id': 35, 'name': 'Comedy'}]",1995,Comedy
The Prophecy,8.0,16.0,1995-09-01,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1995,Fantasy
The Scarlet Letter,50000000.0,10382407.0,1995-10-13,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Showgirls,45000000.0,20350754.0,1995-09-22,"[{'id': 18, 'name': 'Drama'}]",1995,Drama
Smoke,7000000.0,8349430.0,1995-06-09,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995,Comedy
Species,35000000.0,113374103.0,1995-07-07,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",1995,Science Fiction
Strange Days,42000000.0,7959291.0,1995-10-13,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995,Crime
The Tie That Binds,14000000.0,5780000.0,1995-09-08,"[{'id': 53, 'name': 'Thriller'}]",1995,Thriller
Under Siege 2: Dark Territory,60000000.0,104324083.0,1995-07-13,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
A Walk in the Clouds,20000000.0,50012507.0,1995-08-11,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Waterworld,175000000.0,264218220.0,1995-07-28,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",1995,Adventure
Burnt by the Sun,2800000.0,2616503.0,1994-05-01,"[{'id': 18, 'name': 'Drama'}]",1994,Drama
Before Sunrise,2500000.0,5535405.0,1995-01-27,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Billy Madison,10000000.0,26488734.0,1995-02-10,"[{'id': 35, 'name': 'Comedy'}]",1995,Comedy
Boys on the Side,21000000.0,23450000.0,1995-02-03,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995,Comedy
Clerks,27000.0,3151130.0,1994-09-13,"[{'id': 35, 'name': 'Comedy'}]",1994,Comedy
Don Juan DeMarco,25000000.0,22200000.0,1994-10-01,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1994,Romance
Disclosure,55000000.0,214015089.0,1994-12-09,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",1994,Drama
Dumb and Dumber,16000000.0,247275374.0,1994-12-16,"[{'id': 35, 'name': 'Comedy'}]",1994,Comedy
Ed Wood,18000000.0,5887457.0,1994-09-27,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1994,Comedy
Hideaway,15000000.0,12201255.0,1995-03-03,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995,Drama
Hoop Dreams,700000.0,7830611.0,1994-09-12,"[{'id': 99, 'name': 'Documentary'}]",1994,Documentary
Heavenly Creatures,5000000.0,3049135.0,1994-09-02,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",1994,Drama
Houseguest,10500000.0,26325256.0,1995-01-06,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995,Comedy
Interview with the Vampire,60000000.0,223664608.0,1994-11-11,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",1994,Horror
Jefferson in Paris,14000000.0,2474000.0,1995-03-31,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Drama
Junior,60000000.0,37000000.0,1994-11-22,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",1994,Comedy
Star Wars,11000000.0,775398007.0,1977-05-25,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1977,Adventure
Like Water for Chocolate,2000000.0,21665468.0,1992-04-16,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1992,Drama
Legends of the Fall,30000000.0,160638883.0,1994-12-16,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1994,Adventure
Losing Isaiah,17000000.0,7603766.0,1995-03-17,"[{'id': 18, 'name': 'Drama'}]",1995,Drama
Mary Shelley's Frankenstein,45000000.0,112006296.0,1994-11-04,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",1994,Drama
Miami Rhapsody,6.0,5.0,1995-01-27,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995,Comedy
Nell,31000000.0,106683817.0,1994-12-23,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1994,Drama
Natural Born Killers,34000000.0,50282766.0,1994-08-25,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1994,Crime
Outbreak,50000000.0,189859560.0,1995-03-10,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
Leon: The Professional,16000000.0,45284974.0,1994-09-14,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1994,Thriller
The Perez Family,11000000.0,2832826.0,1995-05-12,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Comedy
Pulp Fiction,8000000.0,213928762.0,1994-09-10,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1994,Thriller
Pushing Hands,400000.0,152322.0,1992-02-01,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1992,Comedy
The Quick and the Dead,32000000.0,18552460.0,1995-02-09,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",1995,Action
Roommates,22000000.0,12400000.0,1995-03-01,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1995,Drama
Prêt-à-Porter,15000000.0,11300653.0,1994-12-23,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1994,Drama
The Swan Princess,35000000.0,9771658.0,1994-11-18,"[{'id': 16, 'name': 'Animation'}]",1994,Animation
The Specialist,45000000.0,170362582.0,1994-10-07,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1994,Action
Stargate,55000000.0,196567262.0,1994-10-27,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",1994,Action
The Santa Clause,22000000.0,189833357.0,1994-11-10,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1994,Fantasy
The Shawshank Redemption,25000000.0,28341469.0,1994-09-23,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1994,Drama
Tank Girl,25000000.0,4064495.0,1995-03-31,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",1995,Action
Star Trek: Generations,38000000.0,120000000.0,1994-11-17,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1994,Science Fiction
Tales from the Hood,6000000.0,12000000.0,1995-05-24,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1995,Crime
What's Eating Gilbert Grape,11000000.0,10032765.0,1993-12-17,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1993,Romance
Virtuosity,30000000.0,24048000.0,1995-08-04,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995,Action
While You Were Sleeping,17000000.0,182057016.0,1995-04-21,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995,Comedy
Muriel's Wedding,3000000.0,15119639.0,1994-09-29,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1994,Drama
Ace Ventura: Pet Detective,15000000.0,107217396.0,1994-02-04,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",1994,Comedy
Bitter Moon,5000000.0,1862805.0,1992-09-02,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1992,Thriller
Clear and Present Danger,62000000.0,215887717.0,1994-08-03,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1994,Action
The Client,45000000.0,117615211.0,1994-07-20,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",1994,Drama
The Crow,15000000.0,94000000.0,1994-05-11,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1994,Fantasy
The Flintstones,46000000.0,341631208.0,1994-05-26,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1994,Fantasy
Forrest Gump,55000000.0,677945399.0,1994-07-06,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1994,Comedy
Four Weddings and a Funeral,6000000.0,254700832.0,1994-03-09,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1994,Comedy
I Love Trouble,45000000.0,61947267.0,1994-06-29,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1994,Action
The Lion King,45000000.0,788241776.0,1994-06-23,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",1994,Family
Little Buddha,35000000.0,4858139.0,1993-12-01,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1993,Drama
New Nightmare,14000000.0,18090181.0,1994-10-13,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",1994,Horror
The Mask,23000000.0,351583407.0,1994-07-29,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",1994,Romance
The Naked Gun 33⅓: The Final Insult,30000000.0,51132598.0,1994-03-18,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1994,Comedy
Reality Bites,11500000.0,20079850.0,1994-02-18,"[{'id': 18, 'name': 'Drama'}]",1994,Drama
Red Rock West,8000000.0,2000000.0,1993-07-08,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1993,Crime
Speed,30000000.0,350448145.0,1994-06-09,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",1994,Action
Timecop,27000000.0,101646581.0,1994-09-15,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",1994,Thriller
True Lies,115000000.0,378882411.0,1994-07-14,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1994,Action
Wyatt Earp,63000000.0,25052000.0,1994-06-24,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",1994,Drama
A Low Down Dirty Shame,10000000.0,29392418.0,1994-11-23,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1994,Action
Jason's Lyric,7000000.0,20851521.0,1994-09-28,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1994,Crime
Street Fighter,35000000.0,99423521.0,1994-12-22,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1994,Action
Highlander: The Final Dimension,26000000.0,36800000.0,1994-11-29,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",1994,Action
In the Mouth of Madness,8000000.0,8946600.0,1994-12-12,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1994,Horror
The Age of Innocence,34000000.0,32255440.0,1993-09-17,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1993,Drama
